todo,acceptance_criteria
"Implement Kruskal's algorithm to find the Minimum Spanning Tree (MST) of a weighted, undirected graph.",All tests must pass. The program must use Kruskal's algorithm to find the MST. A boolean array 'visited[]' must track edge visits. Implement a Disjoint Set Union (DSU) or Union-Find data structure using rank and path compression. The solution must output the minimum total weight of the MST formed. The graph is undirected with no self-loops or multiple edges between the same vertices. Edge weights are non-negative.
"Write a function that takes a string as input and checks whether it is a palindrome, ignoring spaces and special characters.",All tests must pass. The function must accept a string input and return a boolean value. The function must ignore spaces and special characters when determining if the string is a palindrome. The function must handle both uppercase and lowercase letters. A palindrome reads the same forwards and backwards.
Write a Python function called find_longest_substring that takes a string as input and returns the longest substring that uses each character only once.,"All tests must pass. The function must be named find_longest_substring. It must accept a string input. Use a dictionary to track characters and their last seen index. Create variables to track the longest and current substring. Iterate through the string, updating substrings based on unique character constraints. Return the longest substring with unique characters."
"Write a function that takes an array of integers and returns the maximum sum of a contiguous subarray, handling both positive and negative numbers.",All tests must pass. The function must accept an integer array input. It should identify and return the maximum sum of a contiguous subarray. The function must correctly handle arrays with both positive and negative integers.
"Write a function called simple_calculator that takes two numbers and an operator, performing basic arithmetic operations.","All tests must pass. The function must support addition (+), subtraction (-), multiplication (*), and division (/) operations. Handle division by zero with a ValueError. Raise a ValueError for unsupported operators. Return the correct result for valid inputs."
Write a function that takes an array of integers and returns the maximum sum of an increasing subsequence with O(n log n) time complexity.,"All tests must pass. The function must accept an integer array input. Return the maximum sum of an increasing subsequence. Achieve O(n log n) time complexity in the implementation. Handle various input scenarios, including arrays with mixed positive and negative integers."
"Given a 2D matrix filled with integers and a target integer, write a function that checks if the target exists in the matrix. The matrix has the following properties: 1. Inner lists are sorted in ascending order. 2. Rows are not necessarily sorted.","All tests must pass. The function must handle a 2D matrix with sorted inner lists but unsorted rows. The function should return True if the target exists in the matrix, and False otherwise. Input is a 2D matrix of integers and a target integer. No built-in search libraries can be used."
Write a function that takes in a string as input and returns an array of all unique substrings within the string.,All tests must pass. The function must return an array containing all unique substrings from the input string. The implementation must be efficient and handle strings of various lengths. The output should not contain duplicate substrings.
"Given a maze represented as a 2D grid where 0 represents an empty cell, 1 represents a wall, 2 represents the starting cell, and 3 represents the end cell, find the shortest path from the starting cell to the end cell. Two helper methods are available: 1. get_neighbors(cell) returns a list of neighboring cells, 2. is_valid(cell) checks if a cell is within grid boundaries and is an empty cell.","All tests must pass. The function must return a list of coordinates representing the shortest path from the start to the end cell. If no path exists, return an empty list. Input is a 2D grid with specific cell values (0, 1, 2, 3). The solution must use the provided helper methods to navigate the grid and find the optimal path."
Create a function called fibonacciSum that takes an array of positive integers. The function should return the sum of the Fibonacci sequence up to the largest number in the array. A helper function fibonacci should generate the Fibonacci sequence up to a given number.,All tests must pass. The function must find the largest number in the input array and generate a Fibonacci sequence up to that number. The sum of the generated Fibonacci sequence must be returned. The helper function must correctly generate the Fibonacci sequence starting from 0 and 1. Input is an array of positive integers.
Write a function that converts an input integer into its corresponding Roman numeral. The function must handle non-negative integers from 0 to 3999.,All tests must pass. The function must convert integers to correct Roman numeral representation. Valid range is 0 to 3999. Complex conversions like 9 to 'IX' must be handled correctly. No leading zeros are allowed. The output must be a valid Roman numeral string.
Create an algorithm that takes a list of circles as input and returns a 2D plane with the minimum number of circles that can completely cover the given circles without overlap.,"All tests must pass. The output must contain the minimum number of circles that cover all input circles. No output circles can overlap. Input circles can be covered by rotation and scaling but not translation. Input circles are distinct, non-overlapping, with integer centers and radii. The solution will be scored on the number of output circles and algorithm efficiency."
"Create a function that takes a string as input and returns a new string where each vowel (a, e, i, o, u) is replaced with the next vowel in the alphabet, preserving the original case.","All tests must pass. The function must replace each vowel with the subsequent vowel, wrapping around from 'u' to 'a'. Vowel case must be preserved. Non-vowel characters remain unchanged. Function must handle strings of any length and complexity."
"Create a program that solves the Knight's Tour problem on an 8x8 chessboard. The program must find a sequence of knight moves that visits every square exactly once, starting from a given initial position.","All tests must pass. The program must create an 8x8 chessboard representation. The knight must move according to standard chess knight movement rules. Every square must be visited exactly once. A backtracking algorithm must be used to explore possible tours. If no valid tour is found, the program must indicate this."
"Given a string, reverse the order of each word within the string while maintaining the original capitalization and punctuation","All tests must pass. Function must handle strings with multiple words. Punctuation and capitalization must be preserved with each word. Words are defined as continuous sequences of characters separated by spaces. Must work with empty strings, single words, and sentences with multiple words."
Create a function that generates a Fibonacci sequence where the sum of consecutive pairs of numbers is a square number. The function should take an integer n as input and return a list of n numbers from the sequence,All tests must pass. The sequence must start similar to the Fibonacci sequence. Each consecutive pair's sum must be a perfect square. Function must handle inputs less than 2. Must return a list of exactly n elements if possible. Sequence generation stops if a pair's sum cannot be a square number.
"Create a function that takes an array of unique integers and a target number, returning a boolean indicating if any two numbers in the array sum to the target","All tests must pass. Input array must contain unique integers between 2 and 15 elements. Target number must be an integer between 0 and 100. Function must have O(n) or better time complexity. Must return true if any two numbers in the array sum exactly to the target, false otherwise."
Write a function that takes two arrays of integers and returns a new array containing the intersection of the two input arrays,All tests must pass. Function must compare elements from both input arrays. Return a new array containing only elements that appear in both input arrays. Must handle arrays of different lengths. Must work correctly with empty arrays or arrays with no common elements.
"Create a program that checks if a given string contains all vowels (a, e, i, o, u)","All tests must pass. Function must check for presence of all five vowels (a, e, i, o, u) in the input string. Case-insensitive check recommended. Must return a clear boolean result. Handle empty strings and strings with partial vowel sets."
"Find the contiguous subarray with the largest sum in an array of integers. If multiple subarrays exist with the same largest sum, return any one",All tests must pass. Input array length between 1 and 10^5. Array elements between -10^4 and 10^4. Must find a contiguous subarray with the maximum possible sum. Must handle arrays with all negative numbers. Time complexity should be O(n).
"Implement a recursive function to calculate the nth Fibonacci number, where the first two numbers are 0 and 1, and each subsequent number is the sum of the two preceding ones","All tests must pass. Function must use recursion. Correctly calculate Fibonacci numbers starting from index 0. Must handle base cases (n = 0, n = 1). Recommended to use memoization or optimization to improve performance for larger n values."
Write a function called `sum_of_digits` that takes a positive integer as input and returns the sum of all its digits.,All tests must pass. The function must only accept positive integers. The output must be the sum of all digits in the input number. No built-in digit summing functions can be used.
Write a function that takes an array of integers as input and returns the sum of all even numbers and the product of all odd numbers in the array.,All tests must pass. The function must correctly calculate the sum of even numbers and the product of odd numbers from the input array. Must handle arrays with mixed even and odd integers. Must return correct values even if the array contains only even or only odd numbers.
Write a program that takes a string of English text and outputs the number of vowels and consonants present.,"All tests must pass. Program must be case-insensitive. Handle punctuation marks and spaces. Correctly count (a, e, i, o, u) as vowels. Provide accurate counts of vowels and consonants in the input text."
Write a function called `switch_cases` that takes two strings and returns a new string with swapped character cases.,All tests must pass. Function must work for input strings of any length. Do not use predefined case-switching functions like `.swapcase()` or `.lower()`. Swap cases of corresponding characters between two input strings.
Write a program that calculates the nth Fibonacci number using recursion and memoization.,All tests must pass. Must use recursion. Implement memoization to store previously computed Fibonacci numbers. Handle large values of n efficiently. Return correct Fibonacci number for given input n.
Find all pairs of indices in an array of strings where concatenated strings form a palindrome.,All tests must pass. Handle all possible string combinations. Correctly identify palindrome pairs. Return exact indices of palindrome-forming string pairs. Support different input string lengths and compositions.
"Write a function that takes a list of integers and returns a new list with elements in reverse order, without using built-in list manipulation functions.","All tests must pass. Reverse the list without using reverse(), sort(), or reversed(). Do not modify the original list. Create a new list with elements in reverse order. Support lists of various lengths and integer types."
Write a function that takes an array of integers as input and returns the length of the longest continuous increasing subsequence in the array.,All tests must pass. Input is an array of integers. Function must return the length of the longest subsequence where each subsequent element is greater than the previous one. Array will always contain at least one element. Solution should efficiently handle various array lengths and configurations.
Write a Python function `count_anagrams(s)` that takes a string containing only lowercase English letters as input and returns the count of distinct anagrams in the string.,All tests must pass. Input is a string of lowercase English letters. Function must return the total count of distinct anagrams found in the string. Must handle duplicate characters. Must efficiently identify and count unique anagram combinations.
"Write a function that computes the minimum number of edits (insertions, deletions, or substitutions) required to transform one string into another using dynamic programming.","All tests must pass. Function must take two input strings. Return the minimum number of edits (insertions, deletions, substitutions) to transform one string into another. Must use dynamic programming approach. Efficiently handle strings of varying lengths and complexity."
"Write a function that calculates the number of palindromic substrings in a given string. A palindromic substring reads the same forwards and backwards, ignoring spaces and punctuation.",All tests must pass. Function must analyze input string and return the total count of palindromic substrings. Must handle strings of varying lengths. Palindromes can be single characters or multiple characters. Solution should use an efficient dynamic programming approach.
Write a function that returns the length of the longest subsequence in an array where the sum of its elements is equal to a target integer.,All tests must pass. Input is an array of integers and a target sum. Function must find and return the length of the longest subsequence whose elements sum exactly to the target. Handle arrays with various lengths and integer configurations.
"Write a function that sorts a list of integers based on their frequency, with less frequent elements appearing first and more frequent elements appearing later.","All tests must pass. Function must sort list in a single pass. Cannot use built-in sorting functions. Time complexity must be O(n). Sort must prioritize elements by their frequency, with less frequent elements appearing first. Preserve original list order for elements with same frequency."
"Given an integer array `nums` and an integer `k`, write a function to return the sum of all subarrays of `nums` with a product less than `k`. A subarray is a contiguous part of the array. The product of a subarray is the product of all the elements in it.",All tests must pass. Constraints: 1 <= nums.length <= 1000. 0 <= nums[i] <= 1000. 0 <= k <= 10^6. Function must handle subarrays of varying lengths. Must handle cases where product is less than k for every possible subarray. Must return the total sum of valid subarray products.
Write a function `sum_primes_under_n` that calculates the sum of all prime numbers less than a given positive integer `n`. A prime number is a number greater than 1 that is divisible only by 1 and itself.,All tests must pass. Input must be a positive integer. Function must return the sum of all prime numbers strictly less than the input number. Prime numbers must be correctly identified as numbers divisible only by 1 and themselves. Must handle edge cases such as when no prime numbers exist under the given input.
"Write a function that removes duplicate characters from a given string, but only if those duplicates appear more than twice. The function should: 1. Take a string as input, 2. Remove duplicate characters that appear more than twice, 3. Return the modified string.",All tests must pass. Input will be a non-empty string consisting of lowercase and uppercase English letters. Function must remove only characters that appear more than two times in the original string. Characters appearing two times or fewer must remain unchanged. Must return a modified string with only the required characters removed.
"Design an algorithm to find the shortest path from the top-left corner to the bottom-right corner of a square grid. The grid contains cells marked as '.' (empty), 'O' (blocking), and '#' (path). Output should be a list of coordinates representing the shortest path.","All tests must pass. Grid must be square with equal number of rows and columns. Grid cells must be either '.', 'O', or '#'. Function must find the absolute shortest path from top-left to bottom-right. Path must avoid 'O' blocking cells. Output must be a list of coordinate tuples representing the path. Must handle grids of various sizes and blocking configurations."
"Write a function to determine if a string of lowercase English letters can be divided into subsequences of at least 2 letters where each subsequence consists of either all vowels (a, e, i, o, u) or all consonants.","All tests must pass. Input is a string of lowercase English letters. Function must identify if the string can be divided into subsequences of either all vowels or all consonants. Subsequences must maintain the original order of characters. Must handle empty strings, strings with only vowels, strings with only consonants, and mixed strings."
Create a function `reverse_words` that takes a string as input and reverses the order of words. The function should handle strings with multiple spaces between words and ignore non-alphabetic characters.,All tests must pass. Input is a string containing words. Function must reverse the order of words while preserving the original words. Multiple spaces between words should be handled correctly. Non-alphabetic characters should be preserved in their original positions. Must work with strings of varying lengths and complexities.
Write a function that takes an integer as input and returns the sum of all prime numbers up to and including that integer.,All tests must pass. Input is an integer. Function must calculate the sum of all prime numbers up to and including the input. Prime numbers must be correctly identified as natural numbers greater than 1 with no divisors other than 1 and themselves. Must handle edge cases such as very small or large input numbers.
"Create a program that can determine if an input string contains a palindrome word. Input: A string containing a mix of words, numbers, and special characters. Output: A boolean value (True or False) indicating whether the string contains a palindrome word.","All tests must pass. The function must correctly identify if a palindrome word exists in the input string. A palindrome word must remain the same if its letters are reversed. Input must accommodate strings with mixed content including words, numbers, and special characters."
"Given a weighted directed graph with multiple node types, write a function that finds the shortest path between a source node and a target node. The function should take a list of nodes (with their types) and a list of weighted edges, and return the shortest path.","All tests must pass. The function must handle three node types: source (type 0), target (type 1), and regular nodes (type 2). Nodes are represented by integers, and edges have integer weights. Must return None if no path exists between source and target. Must correctly handle weighted edges between same and different node types."
Create a function that takes a sorted list of integers and returns the indices of elements within a given range of the middle value. The function must handle lists with both even and odd numbers of elements.,All tests must pass. Must correctly identify the middle value for lists with both even and odd numbers of elements. Must return indices of elements within the specified range of the middle value. Range calculation must be consistent and accurate.
"Implement a function to reverse a linked list in-place. The function must handle empty lists, lists with one node, and lists with multiple nodes.","All tests must pass. Must reverse the linked list without creating a new list. Must correctly update node next pointers. Must handle edge cases including empty list, single-node list, and multi-node list. Must return the new head of the reversed list."
Write a function that takes a list of numbers and returns only the prime numbers. Function must handle both positive and negative numbers.,All tests must pass. Must correctly identify prime numbers in the input list. Prime numbers must be greater than 1 and have no divisors other than 1 and themselves. Must handle both positive and negative numbers. Solution must be optimized for time and space complexity.
Create a function that takes a positive integer \'n\' and returns the sum of the first \'n\' numbers in the Fibonacci sequence. The Fibonacci sequence starts with 0 and 1.,All tests must pass. Must correctly generate Fibonacci sequence starting with 0 and 1. Must accurately sum the first \'n\' numbers in the sequence. Input must be a positive integer. Calculation must be efficient and handle various input values.
"Write a function that returns the maximum sum of a subarray of length \'k\' within a given list of integers. If \'k\' is larger than the list length, return an empty list.",All tests must pass. Must correctly identify the subarray of length \'k\' with the maximum sum. Must handle cases where \'k\' is larger than the list length by returning an empty list. Sliding window technique must be used efficiently. Function must work with lists containing positive and negative integers.
"Given a list of integers, write a function that reverses the order of the elements in the list using a Stack data structure. The function should be implemented to handle lists of any length and be optimized for time and space efficiency.",All tests must pass. The function must reverse a list of integers using a Stack data structure. The output must be a list with elements in the reversed order. The solution should work for lists of any length. The implementation must be time and space efficient.
"Given two strings, determine if they are anagrams. Two strings are anagrams if they contain the same characters, regardless of order. The function `is_anagram` should take two string parameters and return a boolean value.",All tests must pass. The function must only accept lowercase letter strings that are not empty. The function must return True if the strings are anagrams and False otherwise. The solution must compare character composition without considering character order.
"Write a function to determine if a given string is a palindrome. The function should remove all spaces and punctuation, convert characters to lowercase, and check if the modified string reads the same forward and backward.","All tests must pass. The function must handle input strings with spaces, punctuation, and mixed case. The function must convert the input to lowercase and remove all non-alphanumeric characters before checking for palindrome. For complex data types, the function must identify the type of palindrome."
Write a function that takes a string of parentheses and determines if it is valid. A set of parentheses is valid if every opening parenthesis has a corresponding closing parenthesis in the correct order.,"All tests must pass. The function must handle parentheses types: (), {}, [], <>. The input string length must be between 0 and 10^5. The function must return True for valid parentheses sequences and False for invalid ones."
Write a function that calculates the greatest common divisor (GCD) of two positive integers using the Euclidean algorithm. The function should iteratively calculate the GCD by subtracting or using modulo operations.,All tests must pass. The function must accept two positive integers as input. The implementation must use the Euclidean algorithm to calculate GCD. The solution must handle various input pairs and return the correct greatest common divisor.
"Given a list of integers, create a new list containing only the odd integers from the given list, sorted in ascending order.",All tests must pass. The function must return a list containing only odd integers from the input list. The returned list must be sorted in ascending order. The input list will only contain integers and will not be empty.
"Given an array of integers containing both positive and negative numbers, find the maximum sum of a contiguous subarray within the array.",All tests must pass. The input array will always contain numbers. The array size will be between 1 and 10^5. Each number will be between -10^5 and 10^5. The function must return the maximum sum of any contiguous subarray in the input array.
"Given an array of integers, write a function that finds the longest increasing subsequence. The function should return both the length of the longest increasing subsequence and the subsequence itself.",All tests must pass. The input array will always have at least one element. All input values will be integers. The function must return both the length of the longest increasing subsequence and the actual subsequence. The subsequence must maintain the original order of elements.
"Write a function that takes a list of integers as input and returns the index of the first occurrence of a target value in the list. If the target value is not present in the list, the function should return -1.","All tests must pass. The function should take a list of integers and a target value as input. Must return the index of the first occurrence of the target value. If the target value is not found, must return -1. The input list will never be empty."
Write a function that takes in an array of integers and returns the maximum sum of a subarray with a given size k. The function should ignore any subarrays that go beyond the bounds of the input array.,All tests must pass. The function must take an array of integers and a subarray size k as input. Must return the maximum sum of any contiguous subarray of exactly size k. Must handle subarrays that do not exceed input array bounds.
"Write a function named `sum_of_multiples` that takes two arguments, `limit` and `multiples`, both of which are positive integers. The function should return the sum of all multiples of the numbers in the `multiples` list up to the `limit` (inclusive). The multiples should not exceed the limit. If the `limit` or any number in `multiples` is less than or equal to 0, the function should raise a `ValueError`.",All tests must pass. The function must take a positive integer limit and a list of positive integers (multiples). Must return the sum of unique multiples up to the limit. Must raise a ValueError if limit or any multiple is less than or equal to 0. Must correctly handle multiple overlapping multiples.
"Write a function that takes two arrays as inputs and returns true if they have at least one common element, otherwise return false. The function should have a time complexity of O(n).",All tests must pass. The function must take two arrays as input. Must return true if the arrays share at least one common element. Must return false if no common elements exist. Must achieve O(n) time complexity.
Create a function that takes in two strings as arguments and determines if they are anagrams of each other. An anagram is a word or phrase formed by rearranging the letters of a different word or phrase.,"All tests must pass. The function must take two strings as input. Must return true if strings are anagrams, false otherwise. Must handle different letter case combinations. Must handle strings with spaces and punctuation. Must ignore non-alphanumeric characters."
Write a function that takes a number `n` as input and returns the sum of all odd numbers between 1 and `n` (inclusive). The function should have a time complexity of O(n) and use only the following built-in functions: `range()` and `sum()`.,All tests must pass. The function must take a positive integer as input. Must calculate the sum of all odd numbers from 1 to n (inclusive). Must use only `range()` and `sum()` functions. Must achieve O(n) time complexity.
"Write a function called `string_transform` that accepts a string `s` as input. The function should transform the string by removing all spaces, converting all uppercase letters to lowercase, reversing the order of characters, and replacing all occurrences of the letter 'a' with the letter '*'.",All tests must pass. The function must take a non-empty string containing alphanumeric characters and spaces. Must remove all spaces. Must convert all uppercase letters to lowercase. Must completely reverse the string. Must replace all 'a' characters with '*'.
Write a function named `find_primes_below_n` that takes a number `n` as input and returns a list of all prime numbers below `n`.,All tests must pass. The function must take a positive integer n as input. Must return a list of all prime numbers strictly less than n. Must have a time complexity of O(n*log(log(n))). Must correctly identify prime numbers.
Write a function to determine the minimum number of insertions and removings required to reconstruct an original sequence from a given array.,"All tests must pass. The function must take two input arrays: a sorted, unique sequence and an unsorted subset array. Must calculate minimum operations to reconstruct the original sequence. Must handle additions and removals efficiently. Must achieve O(n) time complexity."
"Write a function that takes in two arrays of integers, A and B, both of length 10. Your function should return a new array C where C[i] = (A[i] - B[i]) % 10. If the result is negative, set it to 0. The function should run in O(n) time complexity.",All tests must pass. The function must take two integer arrays of exactly length 10. Must compute element-wise subtraction modulo 10. Must set negative results to 0. Must achieve O(n) time complexity. Must handle array inputs precisely.
"Generate Fibonacci Numbers Using Recursion: Write a function that uses recursion to generate Fibonacci numbers. The function should take the number of Fibonacci numbers to generate (n) as input. It must handle edge cases like n < 1, and for n = 1 or 2, return the first or second Fibonacci number (1 or 1). Otherwise, return the sum of the two previous Fibonacci numbers (fib(n-1) + fib(n-2)). The function must be implemented using recursion with defined base cases.","All tests must pass. The function must correctly generate Fibonacci numbers using recursion. It must handle input values less than 1 by returning an error message. For n = 1 or 2, it must return 1. For n > 2, it must return the sum of the two previous Fibonacci numbers. The solution must use recursion with clearly defined base cases."
"Palindrome Mirror: Write a function that takes a string as input and returns the palindrome mirror of that string. The palindrome mirror is formed by concatenating the given string with its reverse. The function must handle strings containing numbers, special characters, and spaces.","All tests must pass. The function must generate a palindrome mirror for any input string. It must correctly concatenate the original string with its reverse. The function must work with strings containing numbers, special characters, and spaces. The output must be a valid palindrome that starts with the original string."
"Vowel Counter: Write a function that takes a string of text as input and returns the number of vowels in the given string. The function should case-insensitively count the number of occurrences of the vowels 'a', 'e', 'i', 'o', and 'u'.","All tests must pass. The function must count vowels case-insensitively. It must correctly identify and count the vowels 'a', 'e', 'i', 'o', and 'u'. The function must handle empty strings, strings with special characters, and spaces."
"Palindrome Checker: Write a function called 'is_palindrome' that takes a string as input and checks whether the string is a palindrome (reads the same forwards and backwards). The function should work with lowercase and uppercase letters, numbers, and spaces.","All tests must pass. The function must correctly identify palindromes. It must ignore spaces when checking for palindromes. The function should handle inputs containing lowercase and uppercase letters, numbers, and spaces. It must return a boolean value indicating whether the input is a palindrome."
Longest Substring Finder: Create a function 'find_longest_substring' that takes a string as input and returns the longest substring without repeating characters. The function must be case-sensitive.,All tests must pass. The function must find the longest substring without repeating characters. It must be case-sensitive. The function should handle various input strings and return the correct longest substring.
Unique Coordinate Combinations: Implement a function that takes a list of coordinate pairs and returns a list of unique combinations of x and y values in ascending order.,All tests must pass. The function must process a list of coordinate pairs. It must return a list of unique x and y coordinate combinations. The returned list must be in ascending order and contain no duplicate coordinates.
Knapsack Problem Solver: Create an algorithm to solve the 0/1 Knapsack Problem. The function must take a list of items (each with a weight and value) and a maximum weight capacity. It should return the most valuable combination of items that can fit within the weight capacity.,"All tests must pass. The function must solve the 0/1 Knapsack Problem optimally. It must handle different sets of items and weight capacities. The solution must have a time complexity of O(nW), where n is the number of items and W is the maximum weight capacity. The function must return the items selected with their total weight and total value."
"Palindrome Substring Finder: Create a program that detects palindrome substrings in a given string. The program must loop through all possible substrings, check if each is a palindrome, and return a sorted list of palindrome substrings. Sorting should be based on substring length, with alphabetical sorting for substrings of equal length.","All tests must pass. The function must identify all palindrome substrings in the input string. The returned list must be sorted first by substring length, then alphabetically for substrings of equal length. It must handle various input strings and correctly identify palindrome substrings."
Integer List Sum: Create a function that takes a list of integers as input and returns their sum using only one loop.,All tests must pass. The function must calculate the sum of all integers in the input list. It must use only one loop to iterate through the list. The function must handle lists of various lengths and integer values.
List Rotation: Write a function 'rotate_list' that takes a list and an integer 'k' as input. The function should rotate the list by 'k' positions to the right and return the new list.,"All tests must pass. The function must correctly rotate the input list by the specified number of positions to the right. It must handle lists of various lengths and rotation values. The time complexity should be O(n), and space complexity O(n)."
Write a function that takes a string as input and returns the reversed version of the string,All tests must pass. The function must take a string input. The function must return the reversed string. The input will never be empty.
Write a function that determines whether a given linked list is palindromic,All tests must pass. The function must take the head of a linked list as input. The function must return a boolean indicating whether the list is palindromic. The input will always be a valid linked list. The list may contain duplicates. The function must handle linked lists of varying lengths.
Write a function to find the length of the longest common subsequence between two strings,"All tests must pass. The function must take two strings as input. The function must return the length of the longest common subsequence. The time complexity must be O(m * n), where m and n are the lengths of the input strings."
Write a function that finds the smallest possible sum between two lists of integers,"All tests must pass. The function must take two lists of equal length. The function must return the minimum element-wise sum. The lists may contain negative numbers and zero. The function must perform the calculation in a single pass. Time complexity must be optimal. If lists are empty or have different lengths, raise a ValueError."
"Write a function to remove duplicate elements from an array, maintaining O(n) time complexity",All tests must pass. The function must take an array of integers as input. The function must return a new array with unique elements only. Time complexity must be O(n). The order of elements should be preserved.
Write a function to find the second highest value in a sorted list of integers,"All tests must pass. The function must take a sorted list of integers as input. The function must return the second highest value. If the list is empty, return None. Handle lists with duplicate values. The function must work with a single pass through the list."
Write a function to generate the first n numbers in a Triangle Number Sequence,All tests must pass. The function must take an integer n as input. The function must return a list of the first n triangle numbers. Triangle numbers must be generated using the unique triplet requirement. The time complexity should be O(n^2).
Write a function that takes in a number 'n' and returns the Fibonacci subsequence of length 'n'. The Fibonacci subsequence is a sequence of numbers where each number after the first two is the sum of the two preceding ones. The first two numbers are always 0 and 1.,All tests must pass. The function must: 1) Accept an integer input 'n' 2) Generate a Fibonacci subsequence starting with 0 and 1 3) Ensure the length of the subsequence is exactly 'n' 4) Compute the sequence efficiently 5) Handle input constraints 6) Minimize computational complexity 7) Return a valid Fibonacci sequence
"Write a function called `most_frequent_word` that takes in a string of text as its input. The function should then return the most frequently occurring word in the input string. If there are two or more words that occur the same number of times, you may return any of them. Words are separated by spaces and the input string will only contain lowercase letters.","All tests must pass. The function must: 1) Accept a string input 2) Split input into words using space as delimiter 3) Handle lowercase letters only 4) Count word frequencies 5) Return the most frequent word 6) If multiple words have the same frequency, return any one of them 7) Handle edge cases like empty string or string with no words"
"Create a function that takes an integer and reverses the order of the linked list nodes. The function should take an integer 'n' representing the nodes of the linked list. Create a Node class to represent each node with a value and next reference. Create functions to create a linked list, append nodes, and reverse the linked list.",All tests must pass. The implementation must: 1) Create a Node class with value and next reference 2) Implement a function to create a linked list 3) Implement a function to append nodes 4) Implement a function to reverse the linked list 5) Maintain the order of node values 6) Handle edge cases like empty or single-node lists 7) Efficiently reverse the linked list without using additional data structures
